"score_unit_mode","kappa","policy","parameter","tuned_value","grid_min","grid_max","n_grid_values","at_lower_boundary","at_upper_boundary","at_any_boundary"
"median",0.1,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.1,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.1,"calendar","interval",1,1,80,8,TRUE,FALSE,TRUE
"median",0.1,"cusum","threshold",0.01,0.01,16,11,TRUE,FALSE,TRUE
"median",0.1,"alarm","quantile",0.5,0.5,0.975,7,TRUE,FALSE,TRUE
"median",0.1,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"median",0.1,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"median",0.1,"hybrid_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"median",0.25,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.25,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.25,"calendar","interval",1,1,80,8,TRUE,FALSE,TRUE
"median",0.25,"cusum","threshold",0.01,0.01,16,11,TRUE,FALSE,TRUE
"median",0.25,"alarm","quantile",0.5,0.5,0.975,7,TRUE,FALSE,TRUE
"median",0.25,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"median",0.25,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"median",0.25,"hybrid_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"median",0.5,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.5,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",0.5,"calendar","interval",2,1,80,8,FALSE,FALSE,FALSE
"median",0.5,"cusum","threshold",0.01,0.01,16,11,TRUE,FALSE,TRUE
"median",0.5,"alarm","quantile",0.5,0.5,0.975,7,TRUE,FALSE,TRUE
"median",0.5,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"median",0.5,"debt_utility","scale",0.75,0.25,8,8,FALSE,FALSE,FALSE
"median",0.5,"hybrid_utility","scale",0.75,0.25,8,8,FALSE,FALSE,FALSE
"median",1,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",1,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"median",1,"calendar","interval",3,1,80,8,FALSE,FALSE,FALSE
"median",1,"cusum","threshold",0.01,0.01,16,11,TRUE,FALSE,TRUE
"median",1,"alarm","quantile",0.5,0.5,0.975,7,TRUE,FALSE,TRUE
"median",1,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"median",1,"debt_utility","scale",1.5,0.25,8,8,FALSE,FALSE,FALSE
"median",1,"hybrid_utility","scale",1,0.25,8,8,FALSE,FALSE,FALSE
