"score_unit_mode","target_policy","benchmark","shift_type","n_cells","cell_wins","cell_win_rate","mean_relative"
"mean","debt_utility_tuned","calendar10","abrupt_coef",24,24,1,0.51014996814109
"mean","debt_utility_tuned","calendar10","gradual",24,22,0.916666666666667,0.775028068974346
"mean","debt_utility_tuned","calendar10","variance",24,24,1,0.635916385931462
"mean","debt_utility_tuned","calendar_tuned","abrupt_coef",24,24,1,0.627788180126695
"mean","debt_utility_tuned","calendar_tuned","gradual",24,21,0.875,0.911017369443283
"mean","debt_utility_tuned","calendar_tuned","variance",24,24,1,0.756683039717211
"mean","debt_utility_tuned","cusum_tuned","abrupt_coef",24,0,0,1.1052816256331
"mean","debt_utility_tuned","cusum_tuned","gradual",24,0,0,1.28252647566684
"mean","debt_utility_tuned","cusum_tuned","variance",24,1,0.0416666666666667,1.07397247623167
"mean","debt_utility_tuned","alarm_tuned","abrupt_coef",24,24,1,0.513747703957946
"mean","debt_utility_tuned","alarm_tuned","gradual",24,16,0.666666666666667,0.83139152650405
"mean","debt_utility_tuned","alarm_tuned","variance",24,24,1,0.66282729025304
"mean","debt_utility_tuned","debt_threshold_tuned","abrupt_coef",24,0,0,1.1385675788453
"mean","debt_utility_tuned","debt_threshold_tuned","gradual",24,0,0,1.30898148023857
"mean","debt_utility_tuned","debt_threshold_tuned","variance",24,0,0,1.1385228701295
"mean","debt_utility_tuned","always_retrain","abrupt_coef",24,24,1,0.338554649504511
"mean","debt_utility_tuned","always_retrain","gradual",24,24,1,0.326825708383159
"mean","debt_utility_tuned","always_retrain","variance",24,24,1,0.281016985400427
"mean","debt_utility_tuned","never_retrain","abrupt_coef",24,24,1,0.0293688044808411
"mean","debt_utility_tuned","never_retrain","gradual",24,24,1,0.0819874905153829
"mean","debt_utility_tuned","never_retrain","variance",24,24,1,0.0455086987371167
"mean","hybrid_utility_tuned","calendar10","abrupt_coef",24,24,1,0.500546497194782
"mean","hybrid_utility_tuned","calendar10","gradual",24,23,0.958333333333333,0.760238183083154
"mean","hybrid_utility_tuned","calendar10","variance",24,24,1,0.661510240185803
"mean","hybrid_utility_tuned","calendar_tuned","abrupt_coef",24,24,1,0.618711934996103
"mean","hybrid_utility_tuned","calendar_tuned","gradual",24,23,0.958333333333333,0.90076013860634
"mean","hybrid_utility_tuned","calendar_tuned","variance",24,24,1,0.789113109348184
"mean","hybrid_utility_tuned","cusum_tuned","abrupt_coef",24,0,0,1.08864090954635
"mean","hybrid_utility_tuned","cusum_tuned","gradual",24,0,0,1.26591177200271
"mean","hybrid_utility_tuned","cusum_tuned","variance",24,3,0.125,1.11998206974338
"mean","hybrid_utility_tuned","alarm_tuned","abrupt_coef",24,24,1,0.504178558531094
"mean","hybrid_utility_tuned","alarm_tuned","gradual",24,18,0.75,0.814412805388673
