"score_unit_mode","score_unit","kappa","lambda","policy","parameter","value","mean_objective","mean_regret","mean_retrains","n_paths"
"median",0.0125070426588733,0.1,0.00125070426588733,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,0.1,0.00125070426588733,"always_retrain","none",0,1.00323610087565,0.75434595196407,199,128
"median",0.0125070426588733,0.1,0.00125070426588733,"calendar","interval",1,1.00323610087565,0.75434595196407,199,128
"median",0.0125070426588733,0.1,0.00125070426588733,"cusum","threshold",0.01,1.12181536262753,1.06807416370268,42.96875,128
"median",0.0125070426588733,0.1,0.00125070426588733,"alarm","quantile",0.5,4.34118240034637,4.32228504057898,15.109375,128
"median",0.0125070426588733,0.1,0.00125070426588733,"debt_threshold","threshold",0.949584433317502,1.38268440958487,1.3526577360765,24.0078125,128
"median",0.0125070426588733,0.1,0.00125070426588733,"debt_utility","scale",8,1.01801246050629,0.917408936118977,80.4375,128
"median",0.0125070426588733,0.1,0.00125070426588733,"hybrid_utility","scale",8,1.01354358776325,0.905787598355395,86.15625,128
"median",0.0125070426588733,0.25,0.00312676066471831,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,0.25,0.00312676066471831,"always_retrain","none",0,1.37657132424301,0.75434595196407,199,128
"median",0.0125070426588733,0.25,0.00312676066471831,"calendar","interval",1,1.37657132424301,0.75434595196407,199,128
"median",0.0125070426588733,0.25,0.00312676066471831,"cusum","threshold",0.01,1.2024271610148,1.06807416370268,42.96875,128
"median",0.0125070426588733,0.25,0.00312676066471831,"alarm","quantile",0.5,4.36952843999745,4.32228504057898,15.109375,128
"median",0.0125070426588733,0.25,0.00312676066471831,"debt_threshold","threshold",0.949584433317502,1.42772441984743,1.3526577360765,24.0078125,128
"median",0.0125070426588733,0.25,0.00312676066471831,"debt_utility","scale",8,1.17058486402985,0.920615005576242,79.9453125,128
"median",0.0125070426588733,0.25,0.00312676066471831,"hybrid_utility","scale",8,1.17536505445543,0.908417862705106,85.375,128
"median",0.0125070426588733,0.5,0.00625352132943663,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,0.5,0.00625352132943663,"always_retrain","none",0,1.99879669652196,0.75434595196407,199,128
"median",0.0125070426588733,0.5,0.00625352132943663,"calendar","interval",2,1.72739739824656,1.10829878663234,99,128
"median",0.0125070426588733,0.5,0.00625352132943663,"cusum","threshold",0.01,1.33678015832691,1.06807416370268,42.96875,128
"median",0.0125070426588733,0.5,0.00625352132943663,"alarm","quantile",0.5,4.41677183941593,4.32228504057898,15.109375,128
"median",0.0125070426588733,0.5,0.00625352132943663,"debt_threshold","threshold",0.949584433317502,1.50279110361837,1.3526577360765,24.0078125,128
"median",0.0125070426588733,0.5,0.00625352132943663,"debt_utility","scale",0.75,1.38185406126019,1.03922949029661,54.7890625,128
"median",0.0125070426588733,0.5,0.00625352132943663,"hybrid_utility","scale",0.75,1.41212068952835,1.01629233162917,63.296875,128
"median",0.0125070426588733,1,0.0125070426588733,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,1,0.0125070426588733,"always_retrain","none",0,3.24324744107986,0.75434595196407,199,128
"median",0.0125070426588733,1,0.0125070426588733,"calendar","interval",3,2.29889225530328,1.47342743981764,66,128
"median",0.0125070426588733,1,0.0125070426588733,"cusum","threshold",0.01,1.60548615295114,1.06807416370268,42.96875,128
"median",0.0125070426588733,1,0.0125070426588733,"alarm","quantile",0.5,4.51125863825289,4.32228504057898,15.109375,128
"median",0.0125070426588733,1,0.0125070426588733,"debt_threshold","threshold",0.949584433317502,1.65292447116023,1.3526577360765,24.0078125,128
"median",0.0125070426588733,1,0.0125070426588733,"debt_utility","scale",1.5,1.72447863222378,1.03922949029661,54.7890625,128
"median",0.0125070426588733,1,0.0125070426588733,"hybrid_utility","scale",1,1.75934458434805,1.17581287529499,46.65625,128
"median",0.0125070426588733,2,0.0250140853177465,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,2,0.0250140853177465,"always_retrain","none",0,5.73214893019564,0.75434595196407,199,128
"median",0.0125070426588733,2,0.0250140853177465,"calendar","interval",3,3.12435707078891,1.47342743981764,66,128
"median",0.0125070426588733,2,0.0250140853177465,"cusum","threshold",0.025,2.03350148859382,1.30281660575746,29.2109375,128
"median",0.0125070426588733,2,0.0250140853177465,"alarm","quantile",0.9,4.69935438831353,4.40876106903627,11.6171875,128
"median",0.0125070426588733,2,0.0250140853177465,"debt_threshold","threshold",0.949584433317502,1.95319120624396,1.3526577360765,24.0078125,128
"median",0.0125070426588733,2,0.0250140853177465,"debt_utility","scale",4,2.5717107246563,1.00149060334307,62.7734375,128
"median",0.0125070426588733,2,0.0250140853177465,"hybrid_utility","scale",2,2.3428762934011,1.17581287529499,46.65625,128
"median",0.0125070426588733,4,0.050028170635493,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"median",0.0125070426588733,4,0.050028170635493,"always_retrain","none",0,10.7099519084272,0.75434595196407,199,128
"median",0.0125070426588733,4,0.050028170635493,"calendar","interval",5,4.14068249584872,2.18958384106449,39,128
"median",0.0125070426588733,4,0.050028170635493,"cusum","threshold",0.05,2.64724529145346,1.58023821461834,21.328125,128
"median",0.0125070426588733,4,0.050028170635493,"alarm","quantile",0.95,4.98153734494919,4.42145634088152,11.1953125,128
"median",0.0125070426588733,4,0.050028170635493,"debt_threshold","threshold",1.32399455488384,2.52765341814413,1.57672733098667,19.0078125,128
"median",0.0125070426588733,4,0.050028170635493,"debt_utility","scale",4,3.33331454858829,2.02984619648384,26.0546875,128
"median",0.0125070426588733,4,0.050028170635493,"hybrid_utility","scale",2,3.2363543433284,2.07202684080391,23.2734375,128
"q75",0.080699258661979,0.1,0.0080699258661979,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,0.1,0.0080699258661979,"always_retrain","none",0,2.36026119933746,0.75434595196407,199,128
"q75",0.080699258661979,0.1,0.0080699258661979,"calendar","interval",2,1.90722144738593,1.10829878663234,99,128
"q75",0.080699258661979,0.1,0.0080699258661979,"cusum","threshold",0.01,1.41482879076587,1.06807416370268,42.96875,128
"q75",0.080699258661979,0.1,0.0080699258661979,"alarm","quantile",0.5,4.44421657671357,4.32228504057898,15.109375,128
"q75",0.080699258661979,0.1,0.0080699258661979,"debt_threshold","threshold",0.949584433317502,1.54639900316108,1.3526577360765,24.0078125,128
"q75",0.080699258661979,0.1,0.0080699258661979,"debt_utility","scale",1,1.48075782797112,1.03546184052616,55.1796875,128
"q75",0.080699258661979,0.1,0.0080699258661979,"hybrid_utility","scale",1,1.53059230305689,1.01153214949121,64.3203125,128
"q75",0.080699258661979,0.25,0.0201748146654948,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,0.25,0.0201748146654948,"always_retrain","none",0,4.76913407039752,0.75434595196407,199,128
"q75",0.080699258661979,0.25,0.0201748146654948,"calendar","interval",3,2.80496520774029,1.47342743981764,66,128
"q75",0.080699258661979,0.25,0.0201748146654948,"cusum","threshold",0.025,1.89214185602531,1.30281660575746,29.2109375,128
"q75",0.080699258661979,0.25,0.0201748146654948,"alarm","quantile",0.5,4.62711388091544,4.32228504057898,15.109375,128
"q75",0.080699258661979,0.25,0.0201748146654948,"debt_threshold","threshold",0.949584433317502,1.83701090378795,1.3526577360765,24.0078125,128
"q75",0.080699258661979,0.25,0.0201748146654948,"debt_utility","scale",2,2.18819478156182,1.56104175379617,31.0859375,128
"q75",0.080699258661979,0.25,0.0201748146654948,"hybrid_utility","scale",1.5,2.09302991872334,1.21999633722197,43.2734375,128
"q75",0.080699258661979,0.5,0.0403496293309895,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,0.5,0.0403496293309895,"always_retrain","none",0,8.78392218883097,0.75434595196407,199,128
"q75",0.080699258661979,0.5,0.0403496293309895,"calendar","interval",5,3.76321938497309,2.18958384106449,39,128
"q75",0.080699258661979,0.5,0.0403496293309895,"cusum","threshold",0.05,2.44082015269336,1.58023821461834,21.328125,128
"q75",0.080699258661979,0.5,0.0403496293309895,"alarm","quantile",0.95,4.87318305050112,4.42145634088152,11.1953125,128
"q75",0.080699258661979,0.5,0.0403496293309895,"debt_threshold","threshold",0.949584433317502,2.3213640714994,1.3526577360765,24.0078125,128
"q75",0.080699258661979,0.5,0.0403496293309895,"debt_utility","scale",4,2.81534780932747,1.56104175379617,31.0859375,128
"q75",0.080699258661979,0.5,0.0403496293309895,"hybrid_utility","scale",2,2.90182680511355,1.73767695261867,28.8515625,128
"q75",0.080699258661979,1,0.080699258661979,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,1,0.080699258661979,"always_retrain","none",0,16.8134984256979,0.75434595196407,199,128
"q75",0.080699258661979,1,0.080699258661979,"calendar","interval",5,5.33685492888167,2.18958384106449,39,128
"q75",0.080699258661979,1,0.080699258661979,"cusum","threshold",0.1,3.23525028539696,2.0001733500937,15.3046875,128
"q75",0.080699258661979,1,0.080699258661979,"alarm","quantile",0.95,5.32490976012071,4.42145634088152,11.1953125,128
"q75",0.080699258661979,1,0.080699258661979,"debt_threshold","threshold",1.82632818040671,3.08329736258544,1.87785218632213,14.9375,128
"q75",0.080699258661979,1,0.080699258661979,"debt_utility","scale",8,4.06965386485878,1.56104175379617,31.0859375,128
"q75",0.080699258661979,1,0.080699258661979,"hybrid_utility","scale",4,4.06597665760843,1.73767695261867,28.8515625,128
"q75",0.080699258661979,2,0.161398517323958,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,2,0.161398517323958,"always_retrain","none",0,32.8726508994316,0.75434595196407,199,128
"q75",0.080699258661979,2,0.161398517323958,"calendar","interval",10,7.07388308116139,4.00731125200618,19,128
"q75",0.080699258661979,2,0.161398517323958,"cusum","threshold",0.2,4.32203273587442,2.58699867464187,10.75,128
"q75",0.080699258661979,2,0.161398517323958,"alarm","quantile",0.975,6.20962618154945,4.44432989831865,10.9375,128
"q75",0.080699258661979,2,0.161398517323958,"debt_threshold","threshold",2.51550597679495,4.19906782598118,2.31524450659061,11.671875,128
"q75",0.080699258661979,2,0.161398517323958,"debt_utility","scale",4,5.47947873990059,3.90710412190859,9.7421875,128
"q75",0.080699258661979,2,0.161398517323958,"hybrid_utility","scale",4,5.28670357752162,3.08386600123291,13.6484375,128
"q75",0.080699258661979,4,0.322797034647916,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"q75",0.080699258661979,4,0.322797034647916,"always_retrain","none",0,64.9909558468992,0.75434595196407,199,128
"q75",0.080699258661979,4,0.322797034647916,"calendar","interval",10,10.1404549103166,4.00731125200618,19,128
"q75",0.080699258661979,4,0.322797034647916,"cusum","threshold",0.5,5.90998252932348,3.74371180461597,6.7109375,128
"q75",0.080699258661979,4,0.322797034647916,"alarm","quantile",0.975,7.97492246478025,4.44432989831865,10.9375,128
"q75",0.080699258661979,4,0.322797034647916,"debt_threshold","threshold",3.55545742671044,5.82747132588296,3.08369653137567,8.5,128
"q75",0.080699258661979,4,0.322797034647916,"debt_utility","scale",8,7.05185335789258,3.90710412190859,9.7421875,128
"q75",0.080699258661979,4,0.322797034647916,"hybrid_utility","scale",4,7.21527081720259,5.13978675848981,6.4296875,128
"mean",0.149044950515486,0.1,0.0149044950515486,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,0.1,0.0149044950515486,"always_retrain","none",0,3.72034046722224,0.75434595196407,199,128
"mean",0.149044950515486,0.1,0.0149044950515486,"calendar","interval",3,2.45712411321985,1.47342743981764,66,128
"mean",0.149044950515486,0.1,0.0149044950515486,"cusum","threshold",0.01,1.70850168544891,1.06807416370268,42.96875,128
"mean",0.149044950515486,0.1,0.0149044950515486,"alarm","quantile",0.5,4.54748264549848,4.32228504057898,15.109375,128
"mean",0.149044950515486,0.1,0.0149044950515486,"debt_threshold","threshold",0.949584433317502,1.71048205868126,1.3526577360765,24.0078125,128
"mean",0.149044950515486,0.1,0.0149044950515486,"debt_utility","scale",2,1.86386030670846,1.02594822552922,56.21875,128
"mean",0.149044950515486,0.1,0.0149044950515486,"hybrid_utility","scale",1,1.88300297193991,1.29974816168048,39.1328125,128
"mean",0.149044950515486,0.25,0.0372612376288715,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,0.25,0.0372612376288715,"always_retrain","none",0,8.1693322401095,0.75434595196407,199,128
"mean",0.149044950515486,0.25,0.0372612376288715,"calendar","interval",5,3.64277210859049,2.18958384106449,39,128
"mean",0.149044950515486,0.25,0.0372612376288715,"cusum","threshold",0.05,2.37495054842162,1.58023821461834,21.328125,128
"mean",0.149044950515486,0.25,0.0372612376288715,"alarm","quantile",0.95,4.83860754027349,4.42145634088152,11.1953125,128
"mean",0.149044950515486,0.25,0.0372612376288715,"debt_threshold","threshold",0.949584433317502,2.24721854258839,1.3526577360765,24.0078125,128
"mean",0.149044950515486,0.25,0.0372612376288715,"debt_utility","scale",4,2.77018381640398,1.56588897210209,32.3203125,128
"mean",0.149044950515486,0.25,0.0372612376288715,"hybrid_utility","scale",2,2.76509298314321,1.59980599698405,31.2734375,128
"mean",0.149044950515486,0.5,0.0745224752577431,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,0.5,0.0745224752577431,"always_retrain","none",0,15.5843185282549,0.75434595196407,199,128
"mean",0.149044950515486,0.5,0.0745224752577431,"calendar","interval",5,5.09596037611648,2.18958384106449,39,128
"mean",0.149044950515486,0.5,0.0745224752577431,"cusum","threshold",0.1,3.14071654563994,2.0001733500937,15.3046875,128
"mean",0.149044950515486,0.5,0.0745224752577431,"alarm","quantile",0.95,5.25575873966547,4.42145634088152,11.1953125,128
"mean",0.149044950515486,0.5,0.0745224752577431,"debt_threshold","threshold",1.82632818040671,2.99103166048467,1.87785218632213,14.9375,128
"mean",0.149044950515486,0.5,0.0745224752577431,"debt_utility","scale",8,3.97447866070586,1.56588897210209,32.3203125,128
"mean",0.149044950515486,0.5,0.0745224752577431,"hybrid_utility","scale",4,3.93037996930237,1.59980599698405,31.2734375,128
"mean",0.149044950515486,1,0.149044950515486,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,1,0.149044950515486,"always_retrain","none",0,30.4142911045458,0.75434595196407,199,128
"mean",0.149044950515486,1,0.149044950515486,"calendar","interval",10,6.8391653118004,4.00731125200618,19,128
"mean",0.149044950515486,1,0.149044950515486,"cusum","threshold",0.2,4.18923189268335,2.58699867464187,10.75,128
"mean",0.149044950515486,1,0.149044950515486,"alarm","quantile",0.975,6.07450904458178,4.44432989831865,10.9375,128
"mean",0.149044950515486,1,0.149044950515486,"debt_threshold","threshold",2.51550597679495,4.05487853838855,2.31524450659061,11.671875,128
"mean",0.149044950515486,1,0.149044950515486,"debt_utility","scale",4,5.30301655485886,3.74852429752937,10.4296875,128
"mean",0.149044950515486,1,0.149044950515486,"hybrid_utility","scale",4,5.14252214552899,2.93945147072197,14.78125,128
"mean",0.149044950515486,2,0.298089901030972,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,2,0.298089901030972,"always_retrain","none",0,60.0742362571275,0.75434595196407,199,128
