"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"median",72,0.444444444444444,1.03373009254377,0.722222222222222,0.858521421494792,0.243203125,1.32726059725536,"tail",Inf,1,"signed"
"q75",72,0.861111111111111,0.956236989914125,1,0.64573053962881,0.243203125,1.32726059725536,"tail",Inf,1,"signed"
"mean",72,0.944444444444444,0.944536505990982,1,0.621159992067494,0.243203125,1.32726059725536,"tail",Inf,1,"signed"
"median",72,0.513888888888889,1.00355488228189,0.694444444444444,0.84174719255197,0.2559375,1.23155233127688,"tail",Inf,2,"signed"
"q75",72,0.875,0.947145278956418,1,0.64060080979961,0.2559375,1.23155233127688,"tail",Inf,2,"signed"
"mean",72,0.958333333333333,0.946631136707243,1,0.606434035629434,0.2559375,1.23155233127688,"tail",Inf,2,"signed"
"median",72,0.472222222222222,1.01675520003426,0.666666666666667,0.88720827427008,0.255859375,1.17207790982141,"tail",Inf,3,"signed"
"q75",72,0.847222222222222,0.955263049924711,1,0.668970655126566,0.255859375,1.17207790982141,"tail",Inf,3,"signed"
"mean",72,0.888888888888889,0.960582437976861,1,0.629889077108402,0.255859375,1.17207790982141,"tail",Inf,3,"signed"
"median",72,0.555555555555556,1.00921799649647,0.75,0.836302054607523,0.260546875,1.33979235894422,"tail",8,1,"signed"
"q75",72,0.888888888888889,0.935111382749589,1,0.633229563056997,0.260546875,1.33979235894422,"tail",8,1,"signed"
"mean",72,1,0.914038807155853,1,0.607274997077018,0.260546875,1.33979235894422,"tail",8,1,"signed"
"median",72,0.513888888888889,1.00268952839245,0.680555555555556,0.846033395006665,0.268984375,1.26248585058855,"tail",8,2,"signed"
"q75",72,0.875,0.948006703134577,1,0.642098577943197,0.268984375,1.26248585058855,"tail",8,2,"signed"
"mean",72,0.944444444444444,0.942116150499946,1,0.608842550168232,0.268984375,1.26248585058855,"tail",8,2,"signed"
"median",72,0.430555555555556,1.02025828806729,0.680555555555556,0.876266149152299,0.26984375,1.21590022803415,"tail",8,3,"signed"
"q75",72,0.833333333333333,0.945053997008533,1,0.663489588661263,0.26984375,1.21590022803415,"tail",8,3,"signed"
"mean",72,0.930555555555556,0.946294240939574,1,0.618520358257925,0.26984375,1.21590022803415,"tail",8,3,"signed"
"median",72,0.583333333333333,1.00573152330607,0.75,0.835993305994178,0.27015625,1.29693056377248,"tail",5,1,"signed"
"q75",72,0.847222222222222,0.941531037338646,1,0.643418573700854,0.27015625,1.29693056377248,"tail",5,1,"signed"
"mean",72,0.888888888888889,0.929645572793279,1,0.618122719942533,0.27015625,1.29693056377248,"tail",5,1,"signed"
"median",72,0.694444444444444,0.968490020236755,0.75,0.814648461559864,0.2850390625,1.21314755305729,"tail",5,2,"signed"
"q75",72,0.916666666666667,0.923848489153791,1,0.623476767141553,0.2850390625,1.21314755305729,"tail",5,2,"signed"
"mean",72,0.986111111111111,0.916322175775462,1,0.58814780499243,0.2850390625,1.21314755305729,"tail",5,2,"signed"
"median",72,0.652777777777778,0.982499223424635,0.708333333333333,0.856994638523085,0.2786328125,1.12327794144285,"tail",5,3,"signed"
"q75",72,0.902777777777778,0.928569395693068,1,0.645537644233736,0.2786328125,1.12327794144285,"tail",5,3,"signed"
"mean",72,0.916666666666667,0.927179240859998,1,0.605924802293812,0.2786328125,1.12327794144285,"tail",5,3,"signed"
"median",72,0.625,0.982478138224057,0.763888888888889,0.801516732768609,0.275390625,1.34159081390861,"tail",4,1,"signed"
"q75",72,0.888888888888889,0.91701125131665,1,0.613571868625129,0.275390625,1.34159081390861,"tail",4,1,"signed"
"mean",72,0.944444444444444,0.90276370438483,1,0.579854572063607,0.275390625,1.34159081390861,"tail",4,1,"signed"
"median",72,0.75,0.929872034059069,0.819444444444444,0.755968067756949,0.2842578125,1.29866389065651,"tail",4,2,"signed"
"q75",72,0.930555555555556,0.905133050040431,1,0.603890297690169,0.2842578125,1.29866389065651,"tail",4,2,"signed"
"mean",72,0.986111111111111,0.904730939346818,1,0.570591371782704,0.2842578125,1.29866389065651,"tail",4,2,"signed"
"median",72,0.708333333333333,0.946200077925895,0.75,0.81586900422236,0.290390625,1.25692835319579,"tail",4,3,"signed"
"q75",72,0.930555555555556,0.895481859180595,1,0.62260070215399,0.290390625,1.25692835319579,"tail",4,3,"signed"
"mean",72,0.958333333333333,0.905533452608727,1,0.591018840418762,0.290390625,1.25692835319579,"tail",4,3,"signed"
"median",72,0.444444444444444,1.00516976245853,0.777777777777778,0.755824903408165,0.2773828125,1.51335034766725,"tail",3,1,"signed"
"q75",72,0.5,0.993594311299901,0.902777777777778,0.634968839458962,0.2773828125,1.51335034766725,"tail",3,1,"signed"
"mean",72,0.5,0.998730631673129,0.916666666666667,0.613444799695192,0.2773828125,1.51335034766725,"tail",3,1,"signed"
"median",72,0.694444444444444,0.901093366467468,0.916666666666667,0.6223235792705,0.2794140625,1.48056522504376,"tail",3,2,"signed"
"q75",72,0.875,0.845893507385102,1,0.504067388839021,0.2794140625,1.48056522504376,"tail",3,2,"signed"
"mean",72,0.972222222222222,0.834773460367543,1,0.492534030898478,0.2794140625,1.48056522504376,"tail",3,2,"signed"
"median",72,0.666666666666667,0.902815329180052,0.819444444444444,0.761624989188921,0.295703125,1.31309150431815,"tail",3,3,"signed"
"q75",72,0.847222222222222,0.849791448460121,1,0.583651317027418,0.295703125,1.31309150431815,"tail",3,3,"signed"
"mean",72,0.958333333333333,0.835696199956937,1,0.537595764814117,0.295703125,1.31309150431815,"tail",3,3,"signed"
"median",72,0.444444444444444,1.03373009254377,0.722222222222222,0.858521421494792,0.243203125,1.32726059725536,"hetero",0,1,"signed"
"q75",72,0.861111111111111,0.956236989914125,1,0.64573053962881,0.243203125,1.32726059725536,"hetero",0,1,"signed"
"mean",72,0.944444444444444,0.944536505990982,1,0.621159992067494,0.243203125,1.32726059725536,"hetero",0,1,"signed"
"median",72,0.513888888888889,1.00355488228189,0.694444444444444,0.84174719255197,0.2559375,1.23155233127688,"hetero",0,2,"signed"
