"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","rep","regret_mode","dgp_mode"
"median",72,0.458333333333333,1.01741271443251,0.694444444444444,0.854391282662536,1,"signed","wellspec"
"q75",72,0.861111111111111,0.958832329994157,1,0.646201248640374,1,"signed","wellspec"
"mean",72,1,0.946210307420835,1,0.615334734311772,1,"signed","wellspec"
"median",72,0.513888888888889,1.00308130645926,0.680555555555556,0.861557523200247,2,"signed","wellspec"
"q75",72,0.888888888888889,0.944982075411685,1,0.647616337803021,2,"signed","wellspec"
"mean",72,0.972222222222222,0.943148648515685,1,0.610721883658123,2,"signed","wellspec"
"median",72,0.416666666666667,1.02554751990559,0.666666666666667,0.882519505954297,3,"signed","wellspec"
"q75",72,0.861111111111111,0.956569137795017,1,0.648848430957121,3,"signed","wellspec"
"mean",72,0.833333333333333,0.966026324176073,1,0.619382032940791,3,"signed","wellspec"
"median",72,0.5,1.01679170806508,0.680555555555556,0.863037957346061,4,"signed","wellspec"
"q75",72,0.847222222222222,0.94826229420634,1,0.656337339516197,4,"signed","wellspec"
"mean",72,0.944444444444444,0.951804978703248,1,0.636128436049975,4,"signed","wellspec"
"median",72,0.458333333333333,1.03383335426378,0.680555555555556,0.870821781455212,5,"signed","wellspec"
"q75",72,0.847222222222222,0.956937309203572,1,0.653320701146625,5,"signed","wellspec"
"mean",72,0.944444444444444,0.945449259601101,1,0.62126453434481,5,"signed","wellspec"
"median",72,0.486111111111111,1.02336059649785,0.694444444444444,0.857835662442992,6,"signed","wellspec"
"q75",72,0.847222222222222,0.956230737560919,1,0.654024325482532,6,"signed","wellspec"
"mean",72,0.972222222222222,0.948213349819503,1,0.624987157185686,6,"signed","wellspec"
"median",72,0.472222222222222,1.00914031125171,0.666666666666667,0.866730626797496,7,"signed","wellspec"
"q75",72,0.875,0.953692226236103,1,0.652136131076226,7,"signed","wellspec"
"mean",72,1,0.945862627082518,1,0.618508133872218,7,"signed","wellspec"
"median",72,0.416666666666667,1.03138910434938,0.680555555555556,0.869245905790915,8,"signed","wellspec"
"q75",72,0.847222222222222,0.952808366535758,1,0.660125629689718,8,"signed","wellspec"
"mean",72,1,0.944968980020878,1,0.623333920028671,8,"signed","wellspec"
"median",72,0.472222222222222,1.01094057721293,0.666666666666667,0.873196115103761,9,"signed","wellspec"
"q75",72,0.861111111111111,0.957942874923898,1,0.663319894545989,9,"signed","wellspec"
"mean",72,0.930555555555556,0.956345839180404,1,0.621686590863202,9,"signed","wellspec"
"median",72,0.458333333333333,1.0145510204891,0.694444444444444,0.858915077899294,10,"signed","wellspec"
"q75",72,0.875,0.947634874016955,1,0.647609729396821,10,"signed","wellspec"
"mean",72,0.986111111111111,0.949983870612264,1,0.606204336713659,10,"signed","wellspec"
"median",72,0.555555555555556,0.999467434249946,0.694444444444444,0.863055488946251,11,"signed","wellspec"
"q75",72,0.902777777777778,0.945569706925532,1,0.65356635339015,11,"signed","wellspec"
"mean",72,0.972222222222222,0.946260862658863,1,0.623000396429223,11,"signed","wellspec"
"median",72,0.444444444444444,1.03467476952287,0.708333333333333,0.863782525681153,12,"signed","wellspec"
"q75",72,0.833333333333333,0.958395393413404,1,0.656923432801606,12,"signed","wellspec"
"mean",72,0.958333333333333,0.944823695820123,1,0.625460573104967,12,"signed","wellspec"
"median",72,0.444444444444444,1.02532063584395,0.680555555555556,0.874519157364615,13,"signed","wellspec"
"q75",72,0.861111111111111,0.955286902690448,1,0.654745478039186,13,"signed","wellspec"
"mean",72,1,0.946973433945891,1,0.62623544602049,13,"signed","wellspec"
"median",72,0.430555555555556,1.02992479108959,0.680555555555556,0.865652512790868,14,"signed","wellspec"
"q75",72,0.833333333333333,0.958489543264212,1,0.656181588350335,14,"signed","wellspec"
"mean",72,0.972222222222222,0.948598588334493,1,0.621551282057465,14,"signed","wellspec"
"median",72,0.388888888888889,1.04194294451414,0.666666666666667,0.874846028205629,15,"signed","wellspec"
"q75",72,0.847222222222222,0.959345485925575,1,0.651753921584868,15,"signed","wellspec"
"mean",72,0.986111111111111,0.951298622441191,1,0.609566047801946,15,"signed","wellspec"
