"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","rep","regret_mode","dgp_mode"
"median",72,0.666666666666667,0.958902997827965,0.75,0.791366681519309,1,"signed","student_t"
"q75",72,0.916666666666667,0.909154719113135,1,0.603603470881159,1,"signed","student_t"
"mean",72,1,0.889043789935685,1,0.572077574589547,1,"signed","student_t"
"median",72,0.75,0.921767846352866,0.805555555555556,0.772736198309939,2,"signed","student_t"
"q75",72,0.958333333333333,0.887354124921257,1,0.601991945782013,2,"signed","student_t"
"mean",72,1,0.895216318790041,1,0.566688536553561,2,"signed","student_t"
"median",72,0.527777777777778,0.992296531182954,0.722222222222222,0.845019613916763,3,"signed","student_t"
"q75",72,0.777777777777778,0.950586706236314,1,0.640696570820511,3,"signed","student_t"
"mean",72,0.805555555555556,0.945050359033534,1,0.601744819901373,3,"signed","student_t"
"median",72,0.666666666666667,0.963584961432064,0.763888888888889,0.80543087442076,4,"signed","student_t"
"q75",72,0.902777777777778,0.907430572516893,1,0.61015375115375,4,"signed","student_t"
"mean",72,0.986111111111111,0.903841783279496,1,0.590338008170759,4,"signed","student_t"
"median",72,0.625,0.993078922213806,0.777777777777778,0.817909463781578,5,"signed","student_t"
"q75",72,0.861111111111111,0.933174724944975,1,0.624273763962976,5,"signed","student_t"
"mean",72,0.958333333333333,0.920306390673496,1,0.594941469862191,5,"signed","student_t"
"median",72,0.597222222222222,0.994071617477969,0.736111111111111,0.811038066141699,6,"signed","student_t"
"q75",72,0.888888888888889,0.926938710178898,1,0.613792447199774,6,"signed","student_t"
"mean",72,0.958333333333333,0.913969625447652,1,0.580452634276948,6,"signed","student_t"
"median",72,0.736111111111111,0.953548687983177,0.763888888888889,0.79769962978821,7,"signed","student_t"
"q75",72,0.944444444444444,0.903713240499244,1,0.606057808582545,7,"signed","student_t"
"mean",72,1,0.900185703987443,1,0.570778932876812,7,"signed","student_t"
"median",72,0.569444444444444,1.00472037394251,0.736111111111111,0.8328213221244,8,"signed","student_t"
"q75",72,0.861111111111111,0.924846701003668,1,0.627795771344471,8,"signed","student_t"
"mean",72,0.958333333333333,0.918041212743997,1,0.590806851626194,8,"signed","student_t"
"median",72,0.416666666666667,1.07027736847832,0.680555555555556,0.889118988126174,9,"signed","student_t"
"q75",72,0.652777777777778,0.988411035314875,0.972222222222222,0.681214370062986,9,"signed","student_t"
"mean",72,0.611111111111111,0.980578128625575,0.986111111111111,0.63844106624957,9,"signed","student_t"
"median",72,0.666666666666667,0.966926907541656,0.763888888888889,0.807995835300053,10,"signed","student_t"
"q75",72,0.902777777777778,0.910525946134751,1,0.611481473801636,10,"signed","student_t"
"mean",72,0.916666666666667,0.912619978747052,1,0.569534564845491,10,"signed","student_t"
"median",72,0.680555555555556,0.958789503985022,0.777777777777778,0.803985272096368,11,"signed","student_t"
"q75",72,0.944444444444444,0.901912943141756,1,0.614004136343966,11,"signed","student_t"
"mean",72,1,0.890694552253467,1,0.581650168661196,11,"signed","student_t"
"median",72,0.541666666666667,1.0151872342974,0.736111111111111,0.832436086500753,12,"signed","student_t"
"q75",72,0.875,0.938467069639245,1,0.634554156971012,12,"signed","student_t"
"mean",72,0.916666666666667,0.919501627209784,1,0.601375610952925,12,"signed","student_t"
"median",72,0.625,0.984644426581682,0.736111111111111,0.828472652863622,13,"signed","student_t"
"q75",72,0.861111111111111,0.914274544278624,1,0.621304305840111,13,"signed","student_t"
"mean",72,0.930555555555556,0.906093413941421,1,0.585051461072607,13,"signed","student_t"
"median",72,0.638888888888889,0.979177711896467,0.75,0.8204313475631,14,"signed","student_t"
"q75",72,0.902777777777778,0.917268623860413,1,0.621353056667105,14,"signed","student_t"
"mean",72,1,0.902608158274548,1,0.589206239859355,14,"signed","student_t"
"median",72,0.708333333333333,0.942311687276074,0.833333333333333,0.776482325552529,15,"signed","student_t"
"q75",72,0.958333333333333,0.901660152486633,1,0.581051083527394,15,"signed","student_t"
"mean",72,1,0.888456552012342,1,0.581890714985035,15,"signed","student_t"
